customer_email,total_amount,status,created_at,product_skus
baghyawati.guha307@example.com,18999.0,pending,2025-09-05,TN-MON-001
balveer.agarwal238@example.com,2248.2,paid,2025-09-05,TN-COOL-001;TN-STAND-001
chaman.varty385@example.com,1599.0,refunded,2025-09-05,TN-HUB-001
tara.varughese88@example.com,1093.52,paid,2025-09-05,TN-COOL-001
imaran.buch454@example.com,9496.0,paid,2025-09-05,TN-CTRL-001;TN-MOUSE-001;TN-HEADSET-001
urmi.lad67@example.com,3418.2,paid,2025-09-06,TN-CAM-001;TN-LIGHT-001
abhiram.mitter290@example.com,8297.0,paid,2025-09-06,TN-STAND-001;TN-KB-001
henry.narain455@example.com,3298.0,pending,2025-09-06,TN-CAM-001;TN-STAND-001
yauvani.patla389@example.com,1500.26,pending,2025-09-06,TN-MOUSE-001
samar.ahuja333@example.com,25496.0,paid,2025-09-06,TN-CTRL-001;TN-CAM-001;TN-MON-001
kiaan.arora178@example.com,5487.3,paid,2025-09-06,TN-STAND-001;TN-KB-001
samesh.jani434@example.com,6198.0,paid,2025-09-06,TN-SSD-001;TN-COOL-001
urmi.wali423@example.com,2849.05,paid,2025-09-06,TN-HEADSET-001
zehaan.devan108@example.com,1599.0,paid,2025-09-07,TN-HUB-001
alexander.behl337@example.com,18999.0,paid,2025-09-07,TN-MON-001
ekiya.patla277@example.com,20248.2,paid,2025-09-07,TN-MON-001;TN-KB-001
idika.bhagat143@example.com,6097.0,cancelled,2025-09-07,TN-KB-001;TN-STAND-001
ladli.kaur460@example.com,1899.05,paid,2025-09-07,TN-CAM-001
daksh.dhingra261@example.com,6297.0,pending,2025-09-08,TN-HEADSET-001;TN-LIGHT-001;TN-MOUSE-001
fariq.gandhi266@example.com,1594.83,paid,2025-09-08,TN-MOUSE-001
leena.ratta230@example.com,2658.1,paid,2025-09-08,TN-COOL-001;TN-HUB-001
onveer.bhavsar341@example.com,11997.0,failed,2025-09-08,TN-CAM-001;TN-SSD-001
zehaan.pradhan200@example.com,3324.05,failed,2025-09-08,TN-KB-001
samesh.jani434@example.com,5498.0,paid,2025-09-08,TN-CAM-001;TN-KB-001
jatin.kapoor6@example.com,1519.05,cancelled,2025-09-09,TN-HUB-001
charan.mangal204@example.com,22037.15,paid,2025-09-09,TN-COOL-001;TN-HEADSET-001;TN-MON-001
chandran.datta211@example.com,1368.35,paid,2025-09-09,TN-STAND-001
pallavi.lal439@example.com,1519.05,refunded,2025-09-09,TN-HUB-001
sarthak.puri51@example.com,4999.0,failed,2025-09-09,TN-SSD-001
ubika.bains479@example.com,7307.45,pending,2025-09-09,TN-HUB-001;TN-KB-001
ronith.nazareth71@example.com,18999.0,paid,2025-09-09,TN-MON-001
faras.garg426@example.com,1799.0,paid,2025-09-09,TN-LIGHT-001
saksham.mani448@example.com,2433.06,refunded,2025-09-10,PROMO-GIFTSET-01
lila.kadakia187@example.com,4798.0,cancelled,2025-09-10,TN-STAND-001;TN-KB-001
rayaan.malhotra96@example.com,906.48,paid,2025-09-10,TN-MAT-001
patrick.dora37@example.com,4298.0,paid,2025-09-10,TN-STAND-001;TN-HEADSET-001
nandini.karan64@example.com,956.37,paid,2025-09-10,TN-MAT-001
baghyawati.guha307@example.com,20298.0,paid,2025-09-10,TN-MON-001;TN-STAND-001
gautammishra@example.org,2699.1,paid,2025-09-10,TN-HEADSET-001
arya.thakkar155@example.com,25996.0,paid,2025-09-10,TN-MON-001;TN-CAM-001;TN-HEADSET-001
elijah.dalal19@example.com,2098.0,paid,2025-09-10,TN-COOL-001;TN-MAT-001
